Longitude,Latitude,depth
109.131133,18.32976,4.58
109.131387,18.326072,4.76
109.124505,18.332843,5.25
109.136988,18.32481,4.62
109.13074,18.326068,5.1
109.129703,18.332566,4.47
109.134503,18.325817,4.73
109.136321,18.323922,5.26
109.130936,18.332746,4.35
109.145691,18.319497,4.94
109.143049,18.318462,5.33
109.142441,18.317976,5.83
109.139234,18.315929,6.08
109.130624,18.31613,6.04
109.122606,18.32211,5.88
109.131778,18.317848,6.27
109.121561,18.329844,5.9
109.136885,18.315843,6.15
109.133099,18.322624,6.35
109.127604,18.323717,5.65
109.13008,18.315427,6.32
109.124109,18.328621,6.09
109.136107,18.316315,5.96
109.135075,18.317651,5.95
109.125699,18.324988,5.6
109.122045,18.330144,6.09
109.126452,18.328795,5.54
109.127791,18.32426,5.81
109.121556,18.327063,6.37
109.131016,18.316423,5.96
109.121562,18.328696,6.24
109.136424,18.318104,6.1
109.143391,18.325064,5.94
109.124288,18.326428,6.2
109.130444,18.315498,6.21
109.121836,18.329864,6.19
109.139529,18.314583,6.22
109.128453,18.322368,6.4
109.135947,18.318289,5.77
109.123348,18.330594,5.94
109.139355,18.315585,5.73
109.126661,18.328501,5.53
109.140116,18.313611,5.98
109.12549,18.329253,5.75
109.135357,18.323277,6.06
109.123252,18.327233,6.44
109.136878,18.315931,6.05
109.142921,18.325161,5.94
109.123071,18.328323,6.36
109.136407,18.31775,5.93
109.122404,18.323463,5.56
109.126943,18.324462,5.7
109.122518,18.316941,6.12
109.131211,18.324249,5.69
109.125641,18.321718,6.43
109.125828,18.326807,5.58
109.135003,18.323648,5.75
109.13686,18.31615,6.07
109.130917,18.315931,6.2
109.124363,18.330052,5.67
109.123831,18.332042,5.66
109.136322,18.317655,5.71
109.123456,18.332103,5.66
109.122683,18.331383,5.99
109.12677,18.323743,6.02
109.127499,18.322164,6.36
109.124571,18.330332,5.82
109.137617,18.314221,6.32
109.138966,18.316395,6.09
109.131392,18.323159,6.1
109.132898,18.32283,5.67
109.122488,18.319012,5.83
109.127217,18.321658,5.66
109.139996,18.312808,6.4
109.139832,18.3154,5.73
109.123433,18.330115,5.79
109.125056,18.324366,6.15
109.145649,18.325143,5.69
109.138978,18.313968,6.3
109.140306,18.320378,6.16
109.126279,18.328076,5.66
109.14009,18.320759,6.39
109.138761,18.315497,5.99
109.135106,18.31783,5.89
109.122872,18.329059,6.03
109.140178,18.321383,5.64
109.123845,18.331867,5.58
109.130264,18.314867,6.22
109.137718,18.316964,6.13
109.145656,18.325055,5.61
109.130932,18.324273,5.65
109.131025,18.323132,6.1
109.123169,18.324844,6.3
109.140177,18.323104,5.66
109.139228,18.31487,6.09
109.123811,18.326613,6.32
109.132736,18.322553,6.22
109.138593,18.313587,6.13
109.133562,18.323188,5.56
109.124395,18.324538,6.12
109.123351,18.331698,5.75
109.12486,18.326779,5.86
109.131017,18.323793,5.64
109.128001,18.322819,6.33
109.126103,18.323429,5.98
109.128248,18.323191,5.67
109.130546,18.315947,6.33
109.122014,18.329392,6.25
109.136291,18.315755,6.43
109.141146,18.320837,6.15
109.123153,18.323342,6.33
109.126203,18.322201,6.34
109.143494,18.324365,6.0
109.123726,18.33049,5.93
109.122789,18.327243,6.06
109.125634,18.321805,6.18
109.135284,18.316784,6.39
109.140271,18.313402,5.7
109.139238,18.315312,5.96
109.124009,18.325877,5.76
109.131775,18.322437,6.3
109.124468,18.327059,6.05
109.132227,18.322559,5.97
109.144061,18.325908,5.95
109.125792,18.323273,5.87
109.124752,18.329242,5.76
109.144649,18.324362,5.71
109.124932,18.329873,5.94
109.128759,18.324288,5.58
109.121637,18.331747,5.87
109.137825,18.316222,5.84
109.132706,18.318932,6.38
109.122225,18.32623,6.19
109.124087,18.32606,5.9
109.140872,18.313976,5.68
109.123638,18.325894,6.02
109.122588,18.330847,5.8
109.124279,18.324264,6.21
109.145494,18.323631,5.62
109.122516,18.332298,5.53
109.121567,18.326358,6.1
109.122517,18.33115,5.68
109.145405,18.324727,5.81
109.138486,18.314329,6.05
109.126078,18.323162,6.16
109.122048,18.330674,5.94
109.121657,18.329233,6.21
109.137453,18.317386,6.19
109.131411,18.316673,6.16
109.140091,18.324157,5.64
109.12364,18.324173,6.32
109.121946,18.330225,6.12
109.144182,18.32499,5.67
109.122387,18.317416,5.82
109.137351,18.316937,5.92
109.142744,18.32506,6.03
109.137549,18.316201,5.95
109.126369,18.326979,5.64
109.121552,18.328254,6.3
109.131201,18.323807,5.71
109.141034,18.319372,5.67
109.123154,18.330139,5.96
109.137368,18.317291,6.15
109.124579,18.324552,5.82
109.127706,18.328711,5.58
109.125627,18.321893,6.04
109.121532,18.330768,5.78
109.125329,18.328402,6.04
109.138673,18.314873,6.38
109.125077,18.32525,5.75
109.141815,18.320004,6.14
109.123249,18.330675,5.96
109.139628,18.314502,6.3
109.121474,18.332044,5.73
109.126735,18.324182,5.96
109.130348,18.321802,6.19
109.125695,18.325605,5.6
109.124471,18.332134,5.53
109.136669,18.316225,6.04
109.126079,18.327134,5.83
109.13065,18.323192,6.03
109.124214,18.325628,5.75
109.12458,18.323978,6.33
109.129128,18.32202,6.39
109.141971,18.318647,6.44
109.126682,18.324266,5.96
109.141631,18.320564,6.33
109.140957,18.31919,6.17
109.123837,18.328556,6.03
109.124202,18.328054,6.3
109.128817,18.322439,6.31
109.140381,18.313763,5.59
109.136404,18.316073,6.17
109.143517,18.325779,5.94
109.123182,18.326963,6.42
109.123751,18.325637,5.93
109.139717,18.313405,6.03
109.124311,18.324443,6.23
109.125391,18.330481,5.67
109.141346,18.313261,5.54
109.123182,18.330935,5.6
109.139822,18.314958,5.81
109.128752,18.324376,5.59
109.124381,18.324713,5.57
109.130961,18.323922,5.74
109.124299,18.325722,5.72
109.133453,18.322827,5.9
109.125912,18.324077,6.04
109.126778,18.323082,6.09
109.130182,18.315876,6.2
109.121532,18.326797,6.39
109.128841,18.314762,6.71
109.132545,18.316934,7.01
109.133547,18.314846,7.55
109.126084,18.320824,6.87
109.129965,18.318552,7.32
109.135345,18.314317,6.7
109.131568,18.315317,7.43
109.135723,18.314786,6.99
109.131953,18.315698,7.42
109.131121,18.317402,6.67
109.12945,18.321471,6.57
109.133763,18.31901,6.94
109.142571,18.319222,6.46
109.137088,18.313343,6.59
109.124468,18.322513,7.15
109.129695,18.315619,6.66
109.130753,18.313403,7.43
109.133999,18.314394,7.61
109.131695,18.320004,7.28
109.124111,18.322928,6.72
109.133183,18.314775,7.52
109.123162,18.320386,7.0
109.124279,18.320293,7.38
109.134439,18.316942,7.29
109.134719,18.315771,7.46
109.145091,18.324616,6.98
109.128912,18.313311,7.12
109.132725,18.318139,6.71
109.132238,18.317308,6.64
109.130174,18.317685,7.12
109.12932,18.321373,6.6
109.128367,18.320022,7.47
109.128571,18.32092,6.86
109.141419,18.319754,6.97
109.133484,18.319034,6.8
109.127344,18.322374,6.57
109.124594,18.323802,6.56
109.122709,18.316867,7.19
109.129304,18.313604,6.91
109.12778,18.320994,7.19
109.130642,18.315337,6.46
109.129778,18.312889,7.17
109.128746,18.314225,7.38
109.132889,18.314974,7.35
109.130708,18.321917,6.75
109.131585,18.315671,7.13
109.134607,18.314306,7.41
109.128008,18.322732,6.53
109.133496,18.316034,7.45
109.136703,18.312961,7.15
109.133568,18.319128,6.97
109.130805,18.31504,6.89
109.129979,18.314405,6.77
109.128068,18.32256,6.66
109.135763,18.313156,7.13
109.130749,18.318566,6.82
109.125906,18.322443,6.57
109.142628,18.319667,6.74
109.126642,18.321351,6.71
109.130939,18.319639,6.9
109.133368,18.317039,7.6
109.133297,18.31849,7.5
109.121854,18.326247,6.49
109.134818,18.321383,7.5
109.124766,18.32055,7.19
109.13006,18.313969,6.91
109.125338,18.321475,6.87
109.135857,18.315414,6.81
109.128668,18.314043,7.34
109.124303,18.320559,7.15
109.131123,18.319653,6.55
109.134814,18.320853,6.8
109.124862,18.319365,7.48
109.129051,18.321265,7.32
109.130557,18.315242,6.66
109.123332,18.328519,6.54
109.137183,18.313879,6.71
109.128288,18.321561,6.99
109.12656,18.321212,7.06
109.130562,18.318023,6.76
109.124588,18.322743,6.83
109.132524,18.317771,6.68
109.129011,18.31323,6.89
109.132916,18.317491,7.24
109.135574,18.315481,6.92
109.136695,18.31477,6.46
109.135855,18.31259,7.28
109.133,18.313614,7.53
109.128925,18.31543,7.36
109.125822,18.320628,7.11
109.129325,18.31846,7.58
109.123642,18.320731,7.4
109.128171,18.321288,7.02
109.133363,18.315406,7.52
109.133944,18.31792,7.08
109.137059,18.313694,6.56
109.135233,18.313426,7.41
109.139265,18.31271,6.59
109.132813,18.318763,6.74
109.135555,18.312876,7.45
109.134133,18.319567,7.02
109.126278,18.321279,6.93
109.122491,18.324088,6.73
109.132884,18.317312,7.24
109.139616,18.3209,6.59
109.142264,18.319022,6.47
109.125059,18.320924,6.71
109.12372,18.320913,7.31
109.12959,18.314067,6.94
109.122693,18.31991,6.5
109.135333,18.316743,6.45
109.12352,18.32337,6.83
109.124947,18.320033,7.31
109.13005,18.318647,7.63
109.132717,18.319374,6.79
109.122412,18.313138,7.22
109.122599,18.317653,6.66
109.132909,18.317579,7.22
109.124017,18.32067,7.07
109.131387,18.316407,6.5
109.144931,18.325443,6.9
109.123342,18.321018,6.99
109.125523,18.319193,7.59
109.131292,18.319842,6.97
109.124369,18.32202,6.78
109.134897,18.314151,7.34
109.131508,18.315489,7.32
109.136318,18.313153,7.09
109.134815,18.314587,7.24
109.130802,18.318482,6.8
109.127967,18.32039,7.14
109.135446,18.312515,7.56
109.123554,18.320107,7.51
109.124659,18.322439,7.14
109.138604,18.312881,6.86
109.142382,18.321547,6.54
109.134642,18.314441,7.35
109.123375,18.323447,6.74
109.131569,18.313596,7.59
109.122503,18.313144,7.62
109.137455,18.313944,6.68
109.127794,18.320818,7.26
109.138671,18.312622,6.67
109.134324,18.314947,7.41
109.132721,18.318183,6.63
109.129311,18.314664,6.79
109.129195,18.313243,7.14
109.127324,18.320916,6.99
109.132801,18.319468,6.95
109.131764,18.321995,6.97
109.133308,18.317211,7.48
109.134779,18.321292,7.41
109.125414,18.322804,6.51
109.122701,18.318675,7.35
109.128651,18.322206,6.58
109.123152,18.323916,6.6
109.136046,18.312515,7.3
109.136871,18.314871,6.7
109.133966,18.31651,7.37
109.138034,18.314781,6.59
109.128194,18.314758,7.56
109.131603,18.314878,7.61
109.135646,18.314604,7.12
109.13471,18.319301,6.46
109.135282,18.313959,7.14
109.12713,18.32046,6.78
109.134498,18.313945,7.49
109.131191,18.3137,7.42
109.133015,18.322529,6.48
109.124977,18.321933,6.78
109.134208,18.313527,7.57
109.122685,18.320572,6.66
109.131187,18.314318,7.6
109.128774,18.313874,7.03
109.130714,18.317857,6.68
109.134692,18.313827,7.26
109.1386,18.314073,6.49
109.131508,18.319461,6.94
109.130742,18.318654,6.86
109.13178,18.31498,7.53
109.124939,18.320121,7.3
109.12571,18.319737,7.34
109.122614,18.31633,6.85
109.135009,18.315042,7.1
109.13982,18.312707,6.57
109.12952,18.313223,7.1
109.136031,18.314412,7.05
109.13201,18.313849,7.5
109.122966,18.322225,7.26
109.123356,18.320842,7.18
109.136306,18.31558,6.49
109.130471,18.318016,6.73
109.135454,18.316399,6.81
109.136521,18.315772,6.55
109.127635,18.320498,6.91
109.129203,18.321099,7.26
109.141058,18.32136,7.32
109.130722,18.321741,6.85
109.134434,18.319854,7.19
109.127793,18.321392,6.8
109.126842,18.313775,8.09
109.133778,18.313142,7.91
109.122863,18.318378,7.87
109.132234,18.321898,9.15
109.12989,18.319473,9.21
109.133098,18.320373,7.76
109.127402,18.315405,8.09
109.12402,18.317228,8.17
109.138478,18.321831,8.78
109.144712,18.320174,8.74
109.138876,18.323184,8.23
109.133284,18.320916,8.01
109.127325,18.319195,7.66
109.136492,18.321816,9.21
109.143504,18.319114,8.03
109.12551,18.318222,7.69
109.125055,18.31757,8.05
109.126294,18.31369,8.54
109.131971,18.314332,7.94
109.124097,18.317411,8.05
109.125353,18.315606,10.47
109.134785,18.322352,10.48
109.123341,18.313074,10.04
109.139142,18.322189,8.55
109.129604,18.319011,8.04
109.14503,18.324788,9.86
109.125919,18.314324,8.67
109.142478,18.320936,9.63
109.125912,18.314412,8.81
109.134516,18.322817,7.81
109.125259,18.318468,8.04
109.139428,18.322078,8.39
109.138467,18.322536,8.81
109.142443,18.321375,8.53
109.12923,18.318498,7.8
109.127326,18.317474,10.06
109.133305,18.316681,7.68
109.132982,18.313259,8.16
109.123366,18.317312,8.06
109.126177,18.31399,8.59
109.128444,18.316233,7.8
109.133094,18.315871,7.68
109.127317,18.315311,8.18
109.14339,18.321092,8.17
109.12949,18.319841,10.14
109.144165,18.318942,8.68
109.128561,18.315932,7.85
109.12687,18.313424,8.37
109.124399,18.315403,9.8
109.137803,18.322178,9.32
109.128543,18.316152,7.69
109.137046,18.323534,8.06
109.12456,18.312856,9.57
109.133272,18.314252,7.74
109.122878,18.318203,7.93
109.126678,18.315219,8.62
109.140392,18.322723,7.79
109.133849,18.321356,8.6
109.12363,18.313493,9.9
109.132899,18.321109,8.7
109.141151,18.324192,12.78
109.127209,18.318921,8.11
109.124291,18.317866,7.77
109.139051,18.320461,8.18
109.125158,18.316298,9.54
109.125616,18.313508,8.9
109.126831,18.313333,8.58
109.132254,18.313691,7.75
109.125825,18.31776,8.08
109.125168,18.317314,8.06
109.139248,18.32202,8.4
109.13176,18.312948,7.82
109.125416,18.315964,10.01
109.144713,18.319027,8.41
109.140289,18.323995,7.87
109.135156,18.322909,8.89
109.1254,18.313889,8.7
109.13907,18.32364,9.95
109.144935,18.319132,8.36
109.122701,18.312983,7.82
109.140773,18.323722,10.15
109.124961,18.315312,10.06
109.123359,18.3174,7.94
109.133931,18.32092,7.67
109.133281,18.315841,7.66
109.139725,18.321835,8.4
109.122997,18.315034,9.14
109.126962,18.313431,8.16
109.12543,18.315789,10.3
109.137185,18.321823,9.23
109.137562,18.322293,9.29
109.143868,18.319759,8.92
109.144426,18.320286,8.32
109.124776,18.31702,8.27
109.130731,18.319933,8.05
109.129427,18.319483,10.17
109.126275,18.315057,8.62
109.140658,18.321728,8.49
109.142931,18.31991,8.17
109.137738,18.323541,8.02
109.126209,18.313596,8.5
109.131592,18.321276,9.91
109.124594,18.318683,7.88
109.127701,18.317413,9.55
109.123903,18.312983,9.44
109.130258,18.318927,7.76
109.131192,18.321644,7.84
109.122911,18.315513,8.64
109.126647,18.318438,8.07
109.142641,18.320639,10.29
109.132359,18.320936,8.87
109.141722,18.321718,8.32
109.128934,18.317593,8.14
109.1246,18.315771,9.68
109.136866,18.322903,8.28
109.123932,18.31603,8.8
109.137835,18.32121,9.45
109.12534,18.318033,7.91
109.130049,18.31922,8.02
109.12628,18.317837,8.44
109.125915,18.314942,8.51
109.126467,18.314409,8.68
109.123535,18.312956,9.95
109.123909,18.318588,7.91
109.144836,18.319213,8.45
109.134029,18.32256,8.98
109.136987,18.321985,9.25
109.128365,18.317198,8.2
109.125883,18.315337,8.84
109.128437,18.31632,7.75
109.123469,18.31604,8.26
109.144359,18.319398,8.39
109.132721,18.313063,8.03
109.137647,18.322387,9.31
109.12544,18.312833,8.72
109.127347,18.313239,8.33
109.132521,18.320639,8.02
109.130914,18.319946,7.72
109.128184,18.318288,10.32
109.1331,18.316931,7.74
109.137827,18.323018,8.28
109.12782,18.314245,8.09
109.127303,18.315486,8.33
109.138581,18.320559,9.25
109.132244,18.313249,8.06
109.126484,18.315337,8.73
109.123451,18.317407,8.05
109.1361,18.322096,8.62
109.12808,18.315588,7.9
109.123807,18.318139,8.13
109.125508,18.315971,9.95
109.130452,18.319382,7.78
109.127323,18.312972,8.04
109.128177,18.318375,10.28
109.139146,18.321572,9.28
109.126871,18.317396,10.06
109.126856,18.313599,8.3
109.133012,18.320852,7.7
109.123522,18.315956,8.27
109.126841,18.319468,7.67
109.130952,18.321185,9.24
109.130843,18.320824,9.35
109.124111,18.317235,8.17
109.137563,18.321719,9.17
109.123432,18.314228,9.68
109.124473,18.316203,8.1
109.124766,18.316578,8.38
109.132444,18.320457,7.87
109.126872,18.315675,8.5
109.137735,18.322438,9.33
109.128569,18.318669,10.02
109.124766,18.31543,10.25
109.140269,18.322537,9.22
109.129698,18.321268,7.76
109.135637,18.322106,9.31
109.136958,18.32291,8.26
109.124777,18.315299,9.78
109.12601,18.315479,8.98
109.133365,18.322202,9.38
109.12505,18.314216,9.12
109.131678,18.313957,7.83
109.124489,18.318278,7.85
109.136859,18.322991,8.34
109.124675,18.315424,9.94
109.122577,18.313944,8.98
109.123066,18.317025,8.39
109.128169,18.315065,7.67
109.144164,18.320663,9.05
109.132531,18.321655,9.56
109.14028,18.321832,8.73
109.145101,18.319365,8.6
109.145412,18.318946,8.89
109.135841,18.323004,9.12
109.12781,18.317774,10.23
109.128466,18.315396,7.72
109.124947,18.315488,10.22
